timestamp,temperature,humidity,temp_rate,humi_ratepredicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-15 20:26:59,29.10,76.50,0.1000,-0.3500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:01,29.10,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:03,29.10,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:05,28.90,76.50,-0.1000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:07,28.90,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:09,28.80,76.70,-0.0500,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:11,28.80,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.19,912
2026-05-15 20:27:13,28.80,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:15,29.20,77.40,0.1999,0.3498,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:17,29.20,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:19,29.10,77.40,-0.0500,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:21,29.10,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:23,29.10,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:25,29.10,77.10,0.0000,-0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:27,29.10,77.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:29,29.20,77.40,0.0500,0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:31,29.20,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:33,29.20,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:35,29.10,77.30,-0.0500,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:37,29.10,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:39,29.00,77.20,-0.0500,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:41,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:43,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:45,28.90,76.50,-0.0500,-0.3498,0,,0.9054,0.9054,0.0258,0.0688,0.22,912
2026-05-15 20:27:47,28.90,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:49,29.00,77.10,0.0500,0.2998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:51,29.00,77.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:53,29.00,77.10,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:55,28.80,76.70,-0.1000,-0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:57,28.80,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:27:59,28.90,77.30,0.0500,0.3000,0,,0.9054,0.9054,0.0258,0.0688,0.19,912
2026-05-15 20:28:01,28.90,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:03,28.90,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:05,29.20,77.30,0.1499,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:07,29.20,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.24,912
2026-05-15 20:28:09,29.20,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:11,29.00,77.40,-0.1000,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:13,29.00,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:15,29.10,77.50,0.0500,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:17,29.10,77.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:19,29.10,77.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:21,28.90,76.80,-0.1000,-0.3498,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:23,28.90,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:25,29.00,76.90,0.0500,0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:27,29.00,76.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:29,29.00,76.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:31,29.00,76.80,0.0000,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:33,29.00,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:35,29.00,77.20,0.0000,0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:37,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:39,29.00,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:41,28.90,77.00,-0.0500,-0.0999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:43,28.90,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:45,29.00,76.90,0.0500,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:47,29.00,76.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:49,29.00,76.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:51,28.90,76.70,-0.0500,-0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:53,28.90,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:55,28.90,76.50,0.0000,-0.0999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:57,28.90,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:28:59,28.90,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:01,28.90,77.30,0.0000,0.4000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:03,28.90,77.30,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:05,28.90,77.00,0.0000,-0.1499,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:07,28.90,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:09,28.90,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:11,28.90,77.50,0.0000,0.2500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:13,28.90,77.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:15,28.90,77.20,0.0000,-0.1500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:17,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:19,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:21,28.80,76.80,-0.0500,-0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:23,28.80,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:25,28.90,77.20,0.0500,0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.22,912
2026-05-15 20:29:27,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:29,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:31,29.10,77.20,0.1000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:33,29.10,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.19,912
2026-05-15 20:29:35,29.00,77.00,-0.0500,-0.0999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:37,29.00,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:39,29.00,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:41,29.00,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:43,29.00,77.00,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:45,28.90,76.60,-0.0500,-0.2000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:47,28.90,76.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:49,28.90,76.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:51,28.80,76.50,-0.0500,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:53,28.80,76.50,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:55,29.00,76.70,0.1000,0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:57,29.00,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:29:59,29.00,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:30:01,29.10,76.70,0.0500,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
